codigo,glosa,pais,value,anio,variable
13.0,C22,Colombia,3609,2016,consumo_energetico
14.0,C23,Colombia,6606,2016,consumo_energetico
15.0,C24,Colombia,4280,2016,consumo_energetico
16.0,C25,Colombia,734,2016,consumo_energetico
17.0,C26,Colombia,3,2016,consumo_energetico
18.0,C27,Colombia,565,2016,consumo_energetico
19.0,C28,Colombia,243,2016,consumo_energetico
20.0,C29,Colombia,260,2016,consumo_energetico
21.0,C30,Colombia,69,2016,consumo_energetico
22.0,C31,Colombia,242,2016,consumo_energetico
23.0,C32,Colombia,5458,2016,consumo_energetico
24.0,C33,Colombia,-,2016,consumo_energetico
25.0,CXX,Colombia,-,2016,consumo_energetico
,,Ecuador,,2016,consumo_energetico
0.0,C,Ecuador,27693,2016,consumo_energetico
1.0,C10,Ecuador,12821,2016,consumo_energetico
2.0,C11,Ecuador,657,2016,consumo_energetico
3.0,C12,Ecuador,0,2016,consumo_energetico
4.0,C13,Ecuador,705,2016,consumo_energetico
5.0,C14,Ecuador,192,2016,consumo_energetico
6.0,C15,Ecuador,39,2016,consumo_energetico
7.0,C16,Ecuador,155,2016,consumo_energetico
8.0,C17,Ecuador,1654,2016,consumo_energetico
9.0,C18,Ecuador,64,2016,consumo_energetico
10.0,C19,Ecuador,32,2016,consumo_energetico
11.0,C20,Ecuador,871,2016,consumo_energetico
12.0,C21,Ecuador,112,2016,consumo_energetico
13.0,C22,Ecuador,701,2016,consumo_energetico
14.0,C23,Ecuador,7653,2016,consumo_energetico
15.0,C24,Ecuador,1129,2016,consumo_energetico
16.0,C25,Ecuador,281,2016,consumo_energetico
17.0,C26,Ecuador,1,2016,consumo_energetico
18.0,C27,Ecuador,176,2016,consumo_energetico
19.0,C28,Ecuador,110,2016,consumo_energetico
20.0,C29,Ecuador,113,2016,consumo_energetico
21.0,C30,Ecuador,6,2016,consumo_energetico
22.0,C31,Ecuador,58,2016,consumo_energetico
23.0,C32,Ecuador,35,2016,consumo_energetico
24.0,C33,Ecuador,115,2016,consumo_energetico
25.0,CXX,Ecuador,-,2016,consumo_energetico
,,Perú,,2016,consumo_energetico
0.0,C,Perú,46982,2016,consumo_energetico
1.0,C10,Perú,12759,2016,consumo_energetico
2.0,C11,Perú,1602,2016,consumo_energetico
3.0,C12,Perú,-,2016,consumo_energetico
4.0,C13,Perú,3385,2016,consumo_energetico
5.0,C14,Perú,537,2016,consumo_energetico
6.0,C15,Perú,1328,2016,consumo_energetico
7.0,C16,Perú,162,2016,consumo_energetico
8.0,C17,Perú,1848,2016,consumo_energetico
9.0,C18,Perú,461,2016,consumo_energetico
10.0,C19,Perú,-,2016,consumo_energetico
11.0,C20,Perú,4372,2016,consumo_energetico
12.0,C21,Perú,367,2016,consumo_energetico
13.0,C22,Perú,3646,2016,consumo_energetico
14.0,C23,Perú,6381,2016,consumo_energetico
15.0,C24,Perú,8835,2016,consumo_energetico
16.0,C25,Perú,502,2016,consumo_energetico
17.0,C26,Perú,19,2016,consumo_energetico
18.0,C27,Perú,246,2016,consumo_energetico
19.0,C28,Perú,119,2016,consumo_energetico
20.0,C29,Perú,83,2016,consumo_energetico
21.0,C30,Perú,38,2016,consumo_energetico
22.0,C31,Perú,149,2016,consumo_energetico
23.0,C32,Perú,72,2016,consumo_energetico
24.0,C33,Perú,59,2016,consumo_energetico
25.0,CXX,Perú,-,2016,consumo_energetico
,,Chile,,2017,consumo_energetico
0.0,C,Chile,43341,2017,consumo_energetico
1.0,C10,Chile,10558,2017,consumo_energetico
2.0,C11,Chile,1175,2017,consumo_energetico
3.0,C12,Chile,-,2017,consumo_energetico
4.0,C13,Chile,259,2017,consumo_energetico
5.0,C14,Chile,361,2017,consumo_energetico
6.0,C15,Chile,24,2017,consumo_energetico
7.0,C16,Chile,6756,2017,consumo_energetico
8.0,C17,Chile,4285,2017,consumo_energetico
9.0,C18,Chile,887,2017,consumo_energetico
10.0,C19,Chile,-,2017,consumo_energetico
11.0,C20,Chile,5038,2017,consumo_energetico
12.0,C21,Chile,2460,2017,consumo_energetico
13.0,C22,Chile,2357,2017,consumo_energetico
14.0,C23,Chile,2940,2017,consumo_energetico
15.0,C24,Chile,2603,2017,consumo_energetico
16.0,C25,Chile,928,2017,consumo_energetico
17.0,C26,Chile,11,2017,consumo_energetico
18.0,C27,Chile,877,2017,consumo_energetico
19.0,C28,Chile,818,2017,consumo_energetico
20.0,C29,Chile,411,2017,consumo_energetico
21.0,C30,Chile,10,2017,consumo_energetico
22.0,C31,Chile,113,2017,consumo_energetico
23.0,C32,Chile,10,2017,consumo_energetico
24.0,C33,Chile,161,2017,consumo_energetico
25.0,CXX,Chile,286,2017,consumo_energetico
,,Colombia,,2017,consumo_energetico
0.0,C,Colombia,48212,2017,consumo_energetico
1.0,C10,Colombia,9305,2017,consumo_energetico
2.0,C11,Colombia,1462,2017,consumo_energetico
3.0,C12,Colombia,-,2017,consumo_energetico
4.0,C13,Colombia,1685,2017,consumo_energetico
5.0,C14,Colombia,531,2017,consumo_energetico
6.0,C15,Colombia,285,2017,consumo_energetico
7.0,C16,Colombia,343,2017,consumo_energetico
8.0,C17,Colombia,4534,2017,consumo_energetico
9.0,C18,Colombia,366,2017,consumo_energetico
10.0,C19,Colombia,2499,2017,consumo_energetico
11.0,C20,Colombia,5267,2017,consumo_energetico
12.0,C21,Colombia,569,2017,consumo_energetico
13.0,C22,Colombia,3432,2017,consumo_energetico
14.0,C23,Colombia,6473,2017,consumo_energetico
15.0,C24,Colombia,4249,2017,consumo_energetico
16.0,C25,Colombia,715,2017,consumo_energetico
17.0,C26,Colombia,3,2017,consumo_energetico
18.0,C27,Colombia,532,2017,consumo_energetico
19.0,C28,Colombia,217,2017,consumo_energetico
20.0,C29,Colombia,229,2017,consumo_energetico
21.0,C30,Colombia,71,2017,consumo_energetico
22.0,C31,Colombia,231,2017,consumo_energetico
23.0,C32,Colombia,5201,2017,consumo_energetico
24.0,C33,Colombia,-,2017,consumo_energetico
25.0,CXX,Colombia,-,2017,consumo_energetico
,,Ecuador,,2017,consumo_energetico
0.0,C,Ecuador,39176,2017,consumo_energetico
1.0,C10,Ecuador,15661,2017,consumo_energetico
2.0,C11,Ecuador,854,2017,consumo_energetico
3.0,C12,Ecuador,3,2017,consumo_energetico
4.0,C13,Ecuador,1397,2017,consumo_energetico
5.0,C14,Ecuador,88,2017,consumo_energetico
6.0,C15,Ecuador,56,2017,consumo_energetico
7.0,C16,Ecuador,489,2017,consumo_energetico
8.0,C17,Ecuador,2263,2017,consumo_energetico
9.0,C18,Ecuador,106,2017,consumo_energetico
10.0,C19,Ecuador,45,2017,consumo_energetico
11.0,C20,Ecuador,661,2017,consumo_energetico
12.0,C21,Ecuador,166,2017,consumo_energetico
13.0,C22,Ecuador,724,2017,consumo_energetico
14.0,C23,Ecuador,13371,2017,consumo_energetico
15.0,C24,Ecuador,1769,2017,consumo_energetico
16.0,C25,Ecuador,515,2017,consumo_energetico
17.0,C26,Ecuador,1,2017,consumo_energetico
18.0,C27,Ecuador,382,2017,consumo_energetico
19.0,C28,Ecuador,104,2017,consumo_energetico
20.0,C29,Ecuador,205,2017,consumo_energetico
21.0,C30,Ecuador,18,2017,consumo_energetico
22.0,C31,Ecuador,69,2017,consumo_energetico
23.0,C32,Ecuador,27,2017,consumo_energetico
24.0,C33,Ecuador,190,2017,consumo_energetico
25.0,CXX,Ecuador,-,2017,consumo_energetico
,,Perú,,2017,consumo_energetico
0.0,C,Perú,37890,2017,consumo_energetico
1.0,C10,Perú,5427,2017,consumo_energetico
2.0,C11,Perú,1163,2017,consumo_energetico
3.0,C12,Perú,-,2017,consumo_energetico
4.0,C13,Perú,4288,2017,consumo_energetico
5.0,C14,Perú,618,2017,consumo_energetico
6.0,C15,Perú,1386,2017,consumo_energetico
7.0,C16,Perú,196,2017,consumo_energetico
8.0,C17,Perú,1148,2017,consumo_energetico
9.0,C18,Perú,379,2017,consumo_energetico
10.0,C19,Perú,0,2017,consumo_energetico
11.0,C20,Perú,4040,2017,consumo_energetico
12.0,C21,Perú,517,2017,consumo_energetico
13.0,C22,Perú,3276,2017,consumo_energetico
14.0,C23,Perú,5809,2017,consumo_energetico
15.0,C24,Perú,8622,2017,consumo_energetico
16.0,C25,Perú,309,2017,consumo_energetico
17.0,C26,Perú,0,2017,consumo_energetico
18.0,C27,Perú,290,2017,consumo_energetico
19.0,C28,Perú,56,2017,consumo_energetico
20.0,C29,Perú,87,2017,consumo_energetico
21.0,C30,Perú,38,2017,consumo_energetico
22.0,C31,Perú,103,2017,consumo_energetico
23.0,C32,Perú,111,2017,consumo_energetico
24.0,C33,Perú,15,2017,consumo_energetico
25.0,CXX,Perú,-,2017,consumo_energetico
,,Chile,,2018,consumo_energetico
0.0,C,Chile,30813,2018,consumo_energetico
1.0,C10,Chile,8734,2018,consumo_energetico
2.0,C11,Chile,1176,2018,consumo_energetico
3.0,C12,Chile,-,2018,consumo_energetico
4.0,C13,Chile,466,2018,consumo_energetico
5.0,C14,Chile,132,2018,consumo_energetico
6.0,C15,Chile,25,2018,consumo_energetico
7.0,C16,Chile,4002,2018,consumo_energetico
8.0,C17,Chile,2170,2018,consumo_energetico
9.0,C18,Chile,349,2018,consumo_energetico
10.0,C19,Chile,0,2018,consumo_energetico
11.0,C20,Chile,2844,2018,consumo_energetico
12.0,C21,Chile,265,2018,consumo_energetico
13.0,C22,Chile,1761,2018,consumo_energetico
14.0,C23,Chile,3602,2018,consumo_energetico
15.0,C24,Chile,1878,2018,consumo_energetico
16.0,C25,Chile,918,2018,consumo_energetico
17.0,C26,Chile,7,2018,consumo_energetico
18.0,C27,Chile,155,2018,consumo_energetico
19.0,C28,Chile,898,2018,consumo_energetico
20.0,C29,Chile,86,2018,consumo_energetico
21.0,C30,Chile,14,2018,consumo_energetico
22.0,C31,Chile,135,2018,consumo_energetico
23.0,C32,Chile,12,2018,consumo_energetico
24.0,C33,Chile,362,2018,consumo_energetico
25.0,CXX,Chile,810,2018,consumo_energetico
,,Colombia,,2018,consumo_energetico
0.0,C,Colombia,50128,2018,consumo_energetico
1.0,C10,Colombia,9958,2018,consumo_energetico
2.0,C11,Colombia,988,2018,consumo_energetico
3.0,C12,Colombia,-,2018,consumo_energetico
4.0,C13,Colombia,1695,2018,consumo_energetico
5.0,C14,Colombia,498,2018,consumo_energetico
6.0,C15,Colombia,213,2018,consumo_energetico
7.0,C16,Colombia,329,2018,consumo_energetico
8.0,C17,Colombia,4753,2018,consumo_energetico
9.0,C18,Colombia,360,2018,consumo_energetico
10.0,C19,Colombia,1888,2018,consumo_energetico
11.0,C20,Colombia,4995,2018,consumo_energetico
12.0,C21,Colombia,603,2018,consumo_energetico
13.0,C22,Colombia,3533,2018,consumo_energetico
14.0,C23,Colombia,6442,2018,consumo_energetico
15.0,C24,Colombia,3984,2018,consumo_energetico
16.0,C25,Colombia,718,2018,consumo_energetico
17.0,C26,Colombia,-,2018,consumo_energetico
18.0,C27,Colombia,556,2018,consumo_energetico
19.0,C28,Colombia,223,2018,consumo_energetico
20.0,C29,Colombia,181,2018,consumo_energetico
21.0,C30,Colombia,74,2018,consumo_energetico
22.0,C31,Colombia,216,2018,consumo_energetico
23.0,C32,Colombia,7910,2018,consumo_energetico
24.0,C33,Colombia,-,2018,consumo_energetico
25.0,CXX,Colombia,-,2018,consumo_energetico
,,Ecuador,,2018,consumo_energetico
0.0,C,Ecuador,42609,2018,consumo_energetico
1.0,C10,Ecuador,18548,2018,consumo_energetico
2.0,C11,Ecuador,1106,2018,consumo_energetico
3.0,C12,Ecuador,2,2018,consumo_energetico
4.0,C13,Ecuador,1407,2018,consumo_energetico
5.0,C14,Ecuador,245,2018,consumo_energetico
6.0,C15,Ecuador,54,2018,consumo_energetico
7.0,C16,Ecuador,173,2018,consumo_energetico
8.0,C17,Ecuador,4036,2018,consumo_energetico
9.0,C18,Ecuador,76,2018,consumo_energetico
10.0,C19,Ecuador,38,2018,consumo_energetico
11.0,C20,Ecuador,640,2018,consumo_energetico
12.0,C21,Ecuador,177,2018,consumo_energetico
13.0,C22,Ecuador,945,2018,consumo_energetico
14.0,C23,Ecuador,12942,2018,consumo_energetico
15.0,C24,Ecuador,980,2018,consumo_energetico
16.0,C25,Ecuador,253,2018,consumo_energetico
17.0,C26,Ecuador,9,2018,consumo_energetico
18.0,C27,Ecuador,219,2018,consumo_energetico
19.0,C28,Ecuador,211,2018,consumo_energetico
20.0,C29,Ecuador,97,2018,consumo_energetico
21.0,C30,Ecuador,66,2018,consumo_energetico
22.0,C31,Ecuador,58,2018,consumo_energetico
23.0,C32,Ecuador,204,2018,consumo_energetico
24.0,C33,Ecuador,110,2018,consumo_energetico
25.0,CXX,Ecuador,-,2018,consumo_energetico
,,Perú,,2018,consumo_energetico
0.0,C,Perú,59157,2018,consumo_energetico
1.0,C10,Perú,9978,2018,consumo_energetico
2.0,C11,Perú,1178,2018,consumo_energetico
3.0,C12,Perú,-,2018,consumo_energetico
4.0,C13,Perú,2940,2018,consumo_energetico
5.0,C14,Perú,859,2018,consumo_energetico
6.0,C15,Perú,143,2018,consumo_energetico
7.0,C16,Perú,310,2018,consumo_energetico
8.0,C17,Perú,1287,2018,consumo_energetico
9.0,C18,Perú,396,2018,consumo_energetico
10.0,C19,Perú,0,2018,consumo_energetico
11.0,C20,Perú,13459,2018,consumo_energetico
12.0,C21,Perú,376,2018,consumo_energetico
13.0,C22,Perú,6037,2018,consumo_energetico
14.0,C23,Perú,8478,2018,consumo_energetico
15.0,C24,Perú,12394,2018,consumo_energetico
16.0,C25,Perú,471,2018,consumo_energetico
17.0,C26,Perú,12,2018,consumo_energetico
18.0,C27,Perú,251,2018,consumo_energetico
19.0,C28,Perú,71,2018,consumo_energetico
20.0,C29,Perú,60,2018,consumo_energetico
21.0,C30,Perú,42,2018,consumo_energetico
22.0,C31,Perú,163,2018,consumo_energetico
23.0,C32,Perú,199,2018,consumo_energetico
24.0,C33,Perú,45,2018,consumo_energetico
25.0,CXX,Perú,-,2018,consumo_energetico
,,Chile,,2019,consumo_energetico
0.0,C,Chile,-,2019,consumo_energetico
1.0,C10,Chile,-,2019,consumo_energetico
2.0,C11,Chile,-,2019,consumo_energetico
3.0,C12,Chile,-,2019,consumo_energetico
4.0,C13,Chile,-,2019,consumo_energetico
5.0,C14,Chile,-,2019,consumo_energetico
6.0,C15,Chile,-,2019,consumo_energetico
7.0,C16,Chile,-,2019,consumo_energetico
8.0,C17,Chile,-,2019,consumo_energetico
9.0,C18,Chile,-,2019,consumo_energetico
10.0,C19,Chile,-,2019,consumo_energetico
11.0,C20,Chile,-,2019,consumo_energetico
12.0,C21,Chile,-,2019,consumo_energetico
13.0,C22,Chile,-,2019,consumo_energetico
14.0,C23,Chile,-,2019,consumo_energetico
15.0,C24,Chile,-,2019,consumo_energetico
16.0,C25,Chile,-,2019,consumo_energetico
17.0,C26,Chile,-,2019,consumo_energetico
18.0,C27,Chile,-,2019,consumo_energetico
19.0,C28,Chile,-,2019,consumo_energetico
20.0,C29,Chile,-,2019,consumo_energetico
21.0,C30,Chile,-,2019,consumo_energetico
22.0,C31,Chile,-,2019,consumo_energetico
23.0,C32,Chile,-,2019,consumo_energetico
24.0,C33,Chile,-,2019,consumo_energetico
25.0,CXX,Chile,,2019,consumo_energetico
,,Colombia,,2019,consumo_energetico
0.0,C,Colombia,52511,2019,consumo_energetico
1.0,C10,Colombia,10016,2019,consumo_energetico
2.0,C11,Colombia,1251,2019,consumo_energetico
3.0,C12,Colombia,-,2019,consumo_energetico
4.0,C13,Colombia,1809,2019,consumo_energetico
5.0,C14,Colombia,468,2019,consumo_energetico
6.0,C15,Colombia,195,2019,consumo_energetico
7.0,C16,Colombia,299,2019,consumo_energetico
8.0,C17,Colombia,4770,2019,consumo_energetico
9.0,C18,Colombia,376,2019,consumo_energetico
10.0,C19,Colombia,1853,2019,consumo_energetico
11.0,C20,Colombia,5335,2019,consumo_energetico
12.0,C21,Colombia,596,2019,consumo_energetico
13.0,C22,Colombia,3680,2019,consumo_energetico
14.0,C23,Colombia,6532,2019,consumo_energetico
15.0,C24,Colombia,4162,2019,consumo_energetico
16.0,C25,Colombia,695,2019,consumo_energetico
17.0,C26,Colombia,-,2019,consumo_energetico
18.0,C27,Colombia,561,2019,consumo_energetico
19.0,C28,Colombia,238,2019,consumo_energetico
20.0,C29,Colombia,162,2019,consumo_energetico
21.0,C30,Colombia,74,2019,consumo_energetico
22.0,C31,Colombia,231,2019,consumo_energetico
23.0,C32,Colombia,9196,2019,consumo_energetico
24.0,C33,Colombia,-,2019,consumo_energetico
25.0,CXX,Colombia,,2019,consumo_energetico
,,Ecuador,,2019,consumo_energetico
0.0,C,Ecuador,46786,2019,consumo_energetico
1.0,C10,Ecuador,17478,2019,consumo_energetico
2.0,C11,Ecuador,1089,2019,consumo_energetico
3.0,C12,Ecuador,5,2019,consumo_energetico
4.0,C13,Ecuador,1031,2019,consumo_energetico
5.0,C14,Ecuador,197,2019,consumo_energetico
6.0,C15,Ecuador,82,2019,consumo_energetico
7.0,C16,Ecuador,233,2019,consumo_energetico
8.0,C17,Ecuador,3178,2019,consumo_energetico
9.0,C18,Ecuador,64,2019,consumo_energetico
10.0,C19,Ecuador,417,2019,consumo_energetico
11.0,C20,Ecuador,895,2019,consumo_energetico
12.0,C21,Ecuador,237,2019,consumo_energetico
13.0,C22,Ecuador,2966,2019,consumo_energetico
14.0,C23,Ecuador,16541,2019,consumo_energetico
15.0,C24,Ecuador,1175,2019,consumo_energetico
16.0,C25,Ecuador,304,2019,consumo_energetico
17.0,C26,Ecuador,2,2019,consumo_energetico
18.0,C27,Ecuador,227,2019,consumo_energetico
19.0,C28,Ecuador,159,2019,consumo_energetico
20.0,C29,Ecuador,173,2019,consumo_energetico
21.0,C30,Ecuador,14,2019,consumo_energetico
22.0,C31,Ecuador,172,2019,consumo_energetico
23.0,C32,Ecuador,2,2019,consumo_energetico
24.0,C33,Ecuador,134,2019,consumo_energetico
25.0,CXX,Ecuador,,2019,consumo_energetico
,,Perú,,2019,consumo_energetico
0.0,C,Perú,-,2019,consumo_energetico
1.0,C10,Perú,-,2019,consumo_energetico
2.0,C11,Perú,-,2019,consumo_energetico
3.0,C12,Perú,-,2019,consumo_energetico
4.0,C13,Perú,-,2019,consumo_energetico
5.0,C14,Perú,-,2019,consumo_energetico
6.0,C15,Perú,-,2019,consumo_energetico
7.0,C16,Perú,-,2019,consumo_energetico
8.0,C17,Perú,-,2019,consumo_energetico
9.0,C18,Perú,-,2019,consumo_energetico
10.0,C19,Perú,-,2019,consumo_energetico
11.0,C20,Perú,-,2019,consumo_energetico
12.0,C21,Perú,-,2019,consumo_energetico
13.0,C22,Perú,-,2019,consumo_energetico
14.0,C23,Perú,-,2019,consumo_energetico
15.0,C24,Perú,-,2019,consumo_energetico
16.0,C25,Perú,-,2019,consumo_energetico
17.0,C26,Perú,-,2019,consumo_energetico
18.0,C27,Perú,-,2019,consumo_energetico
19.0,C28,Perú,-,2019,consumo_energetico
20.0,C29,Perú,-,2019,consumo_energetico
21.0,C30,Perú,-,2019,consumo_energetico
22.0,C31,Perú,-,2019,consumo_energetico
23.0,C32,Perú,-,2019,consumo_energetico
24.0,C33,Perú,-,2019,consumo_energetico
25.0,CXX,Perú,,2019,consumo_energetico
,,Chile,,2020,consumo_energetico
0.0,C,Chile,-,2020,consumo_energetico
1.0,C10,Chile,-,2020,consumo_energetico
2.0,C11,Chile,-,2020,consumo_energetico
3.0,C12,Chile,-,2020,consumo_energetico
4.0,C13,Chile,-,2020,consumo_energetico
5.0,C14,Chile,-,2020,consumo_energetico
6.0,C15,Chile,-,2020,consumo_energetico
7.0,C16,Chile,-,2020,consumo_energetico
8.0,C17,Chile,-,2020,consumo_energetico
9.0,C18,Chile,-,2020,consumo_energetico
10.0,C19,Chile,-,2020,consumo_energetico
11.0,C20,Chile,-,2020,consumo_energetico
12.0,C21,Chile,-,2020,consumo_energetico
13.0,C22,Chile,-,2020,consumo_energetico
14.0,C23,Chile,-,2020,consumo_energetico
15.0,C24,Chile,-,2020,consumo_energetico
16.0,C25,Chile,-,2020,consumo_energetico
17.0,C26,Chile,-,2020,consumo_energetico
18.0,C27,Chile,-,2020,consumo_energetico
19.0,C28,Chile,-,2020,consumo_energetico
20.0,C29,Chile,-,2020,consumo_energetico
21.0,C30,Chile,-,2020,consumo_energetico
22.0,C31,Chile,-,2020,consumo_energetico
23.0,C32,Chile,-,2020,consumo_energetico
24.0,C33,Chile,-,2020,consumo_energetico
25.0,CXX,Chile,,2020,consumo_energetico
,,Colombia,,2020,consumo_energetico
0.0,C,Colombia,49571,2020,consumo_energetico
1.0,C10,Colombia,10361,2020,consumo_energetico
2.0,C11,Colombia,1140,2020,consumo_energetico
3.0,C12,Colombia,-,2020,consumo_energetico
4.0,C13,Colombia,1494,2020,consumo_energetico
5.0,C14,Colombia,348,2020,consumo_energetico
6.0,C15,Colombia,143,2020,consumo_energetico
7.0,C16,Colombia,265,2020,consumo_energetico
8.0,C17,Colombia,4431,2020,consumo_energetico
9.0,C18,Colombia,316,2020,consumo_energetico
10.0,C19,Colombia,1633,2020,consumo_energetico
11.0,C20,Colombia,5268,2020,consumo_energetico
12.0,C21,Colombia,586,2020,consumo_energetico
13.0,C22,Colombia,3693,2020,consumo_energetico
14.0,C23,Colombia,6225,2020,consumo_energetico
15.0,C24,Colombia,3802,2020,consumo_energetico
16.0,C25,Colombia,622,2020,consumo_energetico
17.0,C26,Colombia,-,2020,consumo_energetico
18.0,C27,Colombia,554,2020,consumo_energetico
19.0,C28,Colombia,205,2020,consumo_energetico
20.0,C29,Colombia,114,2020,consumo_energetico
21.0,C30,Colombia,68,2020,consumo_energetico
22.0,C31,Colombia,188,2020,consumo_energetico
23.0,C32,Colombia,8103,2020,consumo_energetico
24.0,C33,Colombia,-,2020,consumo_energetico
25.0,CXX,Colombia,,2020,consumo_energetico
,,Ecuador,,2020,consumo_energetico
0.0,C,Ecuador,31807,2020,consumo_energetico
1.0,C10,Ecuador,11819,2020,consumo_energetico
2.0,C11,Ecuador,636,2020,consumo_energetico
3.0,C12,Ecuador,0,2020,consumo_energetico
4.0,C13,Ecuador,529,2020,consumo_energetico
5.0,C14,Ecuador,70,2020,consumo_energetico
6.0,C15,Ecuador,51,2020,consumo_energetico
7.0,C16,Ecuador,148,2020,consumo_energetico
8.0,C17,Ecuador,3033,2020,consumo_energetico
9.0,C18,Ecuador,72,2020,consumo_energetico
10.0,C19,Ecuador,109,2020,consumo_energetico
11.0,C20,Ecuador,967,2020,consumo_energetico
12.0,C21,Ecuador,104,2020,consumo_energetico
13.0,C22,Ecuador,731,2020,consumo_energetico
14.0,C23,Ecuador,12003,2020,consumo_energetico
15.0,C24,Ecuador,692,2020,consumo_energetico
16.0,C25,Ecuador,391,2020,consumo_energetico
17.0,C26,Ecuador,0,2020,consumo_energetico
18.0,C27,Ecuador,163,2020,consumo_energetico
19.0,C28,Ecuador,110,2020,consumo_energetico
20.0,C29,Ecuador,75,2020,consumo_energetico
21.0,C30,Ecuador,9,2020,consumo_energetico
22.0,C31,Ecuador,27,2020,consumo_energetico
23.0,C32,Ecuador,1,2020,consumo_energetico
24.0,C33,Ecuador,54,2020,consumo_energetico
25.0,CXX,Ecuador,,2020,consumo_energetico
,,Perú,,2020,consumo_energetico
0.0,C,Perú,-,2020,consumo_energetico
1.0,C10,Perú,-,2020,consumo_energetico
2.0,C11,Perú,-,2020,consumo_energetico
3.0,C12,Perú,-,2020,consumo_energetico
4.0,C13,Perú,-,2020,consumo_energetico
5.0,C14,Perú,-,2020,consumo_energetico
6.0,C15,Perú,-,2020,consumo_energetico
7.0,C16,Perú,-,2020,consumo_energetico
8.0,C17,Perú,-,2020,consumo_energetico
9.0,C18,Perú,-,2020,consumo_energetico
10.0,C19,Perú,-,2020,consumo_energetico
11.0,C20,Perú,-,2020,consumo_energetico
12.0,C21,Perú,-,2020,consumo_energetico
13.0,C22,Perú,-,2020,consumo_energetico
14.0,C23,Perú,-,2020,consumo_energetico
15.0,C24,Perú,-,2020,consumo_energetico
16.0,C25,Perú,-,2020,consumo_energetico
17.0,C26,Perú,-,2020,consumo_energetico
18.0,C27,Perú,-,2020,consumo_energetico
19.0,C28,Perú,-,2020,consumo_energetico
20.0,C29,Perú,-,2020,consumo_energetico
21.0,C30,Perú,-,2020,consumo_energetico
22.0,C31,Perú,-,2020,consumo_energetico
23.0,C32,Perú,-,2020,consumo_energetico
24.0,C33,Perú,-,2020,consumo_energetico
25.0,CXX,Perú,,2020,consumo_energetico
,,Chile,,2021,consumo_energetico
0.0,C,Chile,17523894,2021,consumo_energetico
1.0,C10,Chile,17505414,2021,consumo_energetico
2.0,C11,Chile,171,2021,consumo_energetico
3.0,C12,Chile,-,2021,consumo_energetico
4.0,C13,Chile,12,2021,consumo_energetico
5.0,C14,Chile,0,2021,consumo_energetico
6.0,C15,Chile,0,2021,consumo_energetico
7.0,C16,Chile,865,2021,consumo_energetico
8.0,C17,Chile,6544,2021,consumo_energetico
9.0,C18,Chile,2,2021,consumo_energetico
10.0,C19,Chile,-,2021,consumo_energetico
11.0,C20,Chile,3409,2021,consumo_energetico
12.0,C21,Chile,39,2021,consumo_energetico
13.0,C22,Chile,390,2021,consumo_energetico
14.0,C23,Chile,131,2021,consumo_energetico
15.0,C24,Chile,64,2021,consumo_energetico
16.0,C25,Chile,534,2021,consumo_energetico
17.0,C26,Chile,231,2021,consumo_energetico
18.0,C27,Chile,85,2021,consumo_energetico
19.0,C28,Chile,58,2021,consumo_energetico
20.0,C29,Chile,0,2021,consumo_energetico
21.0,C30,Chile,-,2021,consumo_energetico
22.0,C31,Chile,55,2021,consumo_energetico
